name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialties,squareLogoUrl,websiteUrl,group
Fujitsu (Ireland),Public Company,201-500,Undisclosed,Information Technology & Services,more than 1000,"IT Application Services,Business and IT Consultancy Services,Managed Infrastructure Services,IT Infrastructure,Innovation",https://media.licdn.com/dms/image/C4D0BAQEQI8QlJ57aNw/company-logo_200_200/0?e=2132524800&v=beta&t=QPslU7YRDpiewBM_DN4jZAF9lD_XDTNR_nc147HNvtI,http://www.fujitsu.com/ie/,IT
Teamwork.com,Privately Held,51-200,2007,Computer Software,more than 1000,"Collaboration & Task Management.,Productivity,Help Desk,Project Management,Teamwork Chat",https://media.licdn.com/dms/image/C4E0BAQFJzJZAyfAgvA/company-logo_200_200/0?e=2132524800&v=beta&t=5LYpyJp1EcPJtupeUJHjawPerO9ULE7KoH_W7g5hHCE,http://www.teamwork.com,IT
Sonru,Privately Held,51-200,2007,Computer Software,more than 1000,"video interviewing,e-recruitment,e-learning,SAAS,software as a service,web based application,video screening,video selection,online interviewing,video recruitment",https://media.licdn.com/dms/image/C4E0BAQEDDQh7n_WJLw/company-logo_200_200/0?e=2132524800&v=beta&t=DA2q2NKaPgELMh-75x-3hg8SqKL-EuDkdBvObZW7__4,www.sonru.com,IT
PlanNet21 Communications Ltd,Privately Held,51-200,1998,Information Technology & Services,more than 1000,"Cisco Gold Certified Partner,Cisco Master Unified Communications Specialisation,Microsoft Gold Certified Partner & UC Partner,Net App Gold Partner,Polycom Partner,Nimble Storage Partner,Pure Storage Partner,Palo Alto Gold Partner",https://media.licdn.com/dms/image/C560BAQET7qhH-M03XQ/company-logo_200_200/0?e=2132524800&v=beta&t=Wp6evvVX_ijavCrX_LSlnyczWMrOgFgvoDjd5-syJUA,www.plannet21.ie,IT
South Dublin Chamber,Non Profit,2-10,1984,Information Services,more than 1000,"Networking,Support Services,Representation,Sustainable Development",https://media.licdn.com/dms/image/C4D0BAQF1y5Hvt-bJaQ/company-logo_200_200/0?e=2132524800&v=beta&t=XczivK2VtqPy2M7B-CKDSwX9FqFWh5Xiy1NNW5akZU4,www.sdchamber.ie,IT
OpenJaw Technologies,Privately Held,201-500,2002,Information Technology & Services,more than 1000,"Single integrated platform for travel retailing,Travel Technology,Technology solutions for Airlines,Technology solutions for Online Travel Agencies,Technology solutions for Loyalty Programs,Airline Omni-Channel Retailing,IATA NDC,Loyalty Marketing",https://media.licdn.com/dms/image/C4D0BAQE2D8L-h4O7qg/company-logo_200_200/0?e=2132524800&v=beta&t=Fd72vcdWuAoisrp7DCijrY109Y_f8l0qBTS9P5__-ko,http://www.openjawtech.com,IT
Asavie,Privately Held,51-200,2004,Information Technology & Services,more than 1000,"VPN,Remote Working,Security,Network Access,network as a service,Private 3G,IoT,WAN Back-up,M2M,SDN,Software Defined Networking,Mobile Data Usage Control,IoT security,Industrie 4.0,Enterprise Mobility management,IIoT,SaaS,NB-IoT,smart,connectivity,Unified End Point Management",https://media.licdn.com/dms/image/C510BAQHLfuTgnJ9ZBw/company-logo_200_200/0?e=2132524800&v=beta&t=SHb6Q-bSTSC0txwiy-SJX71CwXQt_MSbBpgxrJlz73o,http://www.asavie.com,IT
Internal Results - Lead Generation for Technology Companies,Privately Held,51-200,2011,Internet,more than 1000,"B2B Lead Generation,B2B Appointment Setting,Database Services,B2B Demand Generation,Target Account Profiling,E-Mail Marketing,Internal Sales Resourcing,Account Based Marketing,Pipeline Management,Telemarketing,Inside Sales,Content Syndication,Content Marketing",https://media.licdn.com/dms/image/C560BAQG2_rtceWO3Ug/company-logo_200_200/0?e=2132524800&v=beta&t=w9eqctQ_slrjM_1CAVKWy8Mgu3bFaVQVIe6gb6JtaBU,https://www.internalresults.com,IT
Techfindr™,Privately Held,2-10,2015,Computer & Network Security,more than 1000,"IT Talent Acquisition,Cyber security,Data loss prevention,Fraud,IT Risk Analyst,Cybercrime,Security Recruitment,Executive Recruitment,Risk,Compliance and Governance,Forensic accounting and Financial Crime,Network and Infrastructure Security,SIEM",https://media.licdn.com/dms/image/C510BAQH7Iu9WiMpjEg/company-logo_200_200/0?e=2132524800&v=beta&t=AFnqYrdB6hJzoILs9BrrsrpgeQ5nvyoDd1DkOLLoCjg,https://www.techfindr.ie,IT
S3 Group,Privately Held,201-500,1986,Information Technology & Services,more than 1000,"Mixed Signal ASICs,Mixed Signal & RF IP,RF Transceivers,System of Chip (SoC) Design,Medication Adherence and Monitoring,Remote Patient Monitoring,Connected Clinical Trials,Patient Support Programs",https://media.licdn.com/dms/image/C4E0BAQF338P9kZqKzw/company-logo_200_200/0?e=2132524800&v=beta&t=ih3uNtJZl6OYLxBy7QfysdZn_nsvSQml4vWs1KvPfwY,http://www.s3group.com,IT
Grouper Technology,Privately Held,11-50,2010,Information Technology & Services,more than 1000,"Advisory Services,Business Transformation,Managed Operation Services,Managed Infrastructure Services,Application Services,Information Security and Data Protection,Quality Assurance ( ITIL/ITSM/ISO),Programme Assurance,Compliance",https://media.licdn.com/dms/image/C4E0BAQFDpgWmgLL6ag/company-logo_200_200/0?e=2132524800&v=beta&t=8Zs0cKfHCMt0RJfZmd19HBAnhrohh7A4H5ILR6NdSnM,http://www.grouper.ie,IT
