name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialties,squareLogoUrl,websiteUrl,group
All Hallows College,Public Company,51-200,1842,Education Management,more than 1000,"Ethical Leadership,Human Service,Social Justice",https://media.licdn.com/dms/image/C510BAQEUJqISGS2oHw/company-logo_200_200/0?e=2132524800&v=beta&t=efG-AJ9sn-UbAfldV77WIX64jf6aSXHXe07uCtpjTNU,http://www.allhallows.ie/,EDUCATION
ATC Language Schools,Educational,11-50,Undisclosed,Higher Education,more than 1000,"General English Courses,Intensive English Courses,Exam Preparation Courses,One to One Tuition,Teacher Training Courses,Demi Pair Programmes,Business English Classes,Junior Summer Programmes,Free Extra Lessons",https://media.licdn.com/dms/image/C4D0BAQFZlHw_H0pbEQ/company-logo_200_200/0?e=2132524800&v=beta&t=lL6n8eMbnV6u0pgCZzC1QvYBBn2ogRghGtXjFUoLDU8,http://www.atclanguageschools.com,EDUCATION
Irish Times Training,Privately Held,2-10,1975,Higher Education,more than 1000,"Digital Marketing,Executive Education,Management/Finance,Business,Personal Development,In-company",https://media.licdn.com/dms/image/C4E0BAQEBr3Ho-IqmyA/company-logo_200_200/0?e=2132524800&v=beta&t=kZMuBEIGF-gAtA22ZZKqBKfSwcOrVmHWTQNKOUVjZX0,www.irishtimestraining.com,EDUCATION
Alpha College,Privately Held,11-50,1989,Professional Training,more than 1000,"Teaching English,English as a Foreign Language,TEFL,CELT,Teaching English as a Foreign Language,Teaching English as a Second Language,Blended e-Learning,Online English Language Learning",https://media.licdn.com/dms/image/C4D0BAQGlzb6XwW1Yyg/company-logo_200_200/0?e=2132524800&v=beta&t=lr7SEMFc8HdDFy2XR7v7U0jwcYbyuob-7Atu5aVFgfM,https://www.alphacollege.com,EDUCATION
Real Nation,Privately Held,11-50,2000,Education Management,more than 1000,"Education ,Design ,Psychology,Pedagogy,Programme Development ,Experiential ,Events ,Behaviour Change ,Project Management ,Innovation ,Consumer ,Trade ",https://media.licdn.com/dms/image/C510BAQEjCB_HZQWPSg/company-logo_200_200/0?e=2132524800&v=beta&t=doizX2TnIFvQ_pyICR5am_mKMlqJItbQLs1czXKPDYQ,http://realnation.ie,EDUCATION
Marino Institute of Education,Educational,51-200,Undisclosed,Education Management,more than 1000,"Education,Conference Facilities,Online Learning,CPD",https://media.licdn.com/dms/image/C560BAQH_rNb1RqkD8Q/company-logo_200_200/0?e=2132524800&v=beta&t=gyy_MY7OSex1N61YpMYm3IWCKsOPwD3z615qyf_jTMo,http://www.mie.ie,EDUCATION
Code Institute,Educational,11-50,2014,Higher Education,more than 1000,"Coding Bootcamps,Web Development Training,Computer Programming,Higher Education,EdTech,Career Training",https://media.licdn.com/dms/image/C510BAQGMQMWodJcvEQ/company-logo_200_200/0?e=2132524800&v=beta&t=Omfw7_gmsDwNC34ANBpIup9Z2o8lnjqXA1j7KwGEOuA,https://www.codeinstitute.net/,EDUCATION
MLI International Schools,Privately Held,51-200,1994,Education Management,more than 1000,"Focuses on the Junior Market from 10 to 17,High School Programme provider in Ireland,Junior Summer  Courses in both Ireland and UK,ACELS Recognised in Ireland,British Council Accredited,ISOQAR ISO 9001:2000 Firm,Offers School Group Courses",https://media.licdn.com/dms/image/C4D0BAQG9m1u84Cz7ZQ/company-logo_200_200/0?e=2132524800&v=beta&t=v1rISwPpmK8PQccw_5tMPPGI7XUh7GEWL-gHqr1b_zc,www.mli-group.com,EDUCATION
Skillnet Ireland,Government Agency,11-50,1999,Education Management,more than 1000,"Training,Networking",https://media.licdn.com/dms/image/C4E0BAQGFDw1IctqAcA/company-logo_200_200/0?e=2132524800&v=beta&t=wdB_YOvZrheR8zanLXeCTiOCeMnUZpHCiOlqfRbIXuA,http://www.skillnetireland.ie,EDUCATION
"Dublin City University, Mater Dei Institute of Education",Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,Not Specified,https://static1.squarespace.com/static/                                     543fa8a4e4b07a3fedf53cf8/t/59f7a805ec212d5a70dc4212/                                     1509403020299/fullsizeoutput_5147.jpeg,http://www.materdei.ie/,EDUCATION
National College of Business Administration (NCBA).,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,Not Specified,https://static1.squarespace.com/static/                                     543fa8a4e4b07a3fedf53cf8/t/59f7a805ec212d5a70dc4212/                                     1509403020299/fullsizeoutput_5147.jpeg,Undisclosed,EDUCATION
Irish Institute of Credit Management,Non Profit,2-10,1963,Education Management,more than 1000,"Education,Networking,Seminars,Events and Awards",https://media.licdn.com/dms/image/C4E0BAQHL3eSZOEaLiA/company-logo_200_200/0?e=2132524800&v=beta&t=yne6QrbhSlRbwqhAKVJF_IxFUHa-lKbkG4pTv1-AiwA,www.iicm.ie,EDUCATION
"Pendulum Summit, Dublin",Public Company,2-10,2013,Professional Training,more than 1000,"Leadership,Personal Development,Talent Management,People Development,Human resources,Business,Sales,Entrepreneurship,Networking,Management,Speakers,Motivation,Business,Innovation,Creativity,Empowerment,Success",https://media.licdn.com/dms/image/C560BAQEwqk4e_kE_pA/company-logo_200_200/0?e=2132524800&v=beta&t=fBfm5pPukdP7P_kFCPh1jJmyQya33Tb8RQXfpE4IKTA,https://www.pendulumsummit.com,EDUCATION
Interactive Services,Privately Held,51-200,1993,E-learning,more than 1000,"Custom eLearning,Mobile Learning,Online Training,Blended Learning,ILT (Instructor-Led Training),Compliance eLearning,Localization,Sales eLearning,Business Analysis,New Hire eLearning",https://media.licdn.com/dms/image/C4E0BAQGO3AFvGkzv2g/company-logo_200_200/0?e=2132524800&v=beta&t=uEwC2qOnA58r1LUZaQ2qB9UbBul3CuRo7BcKavTd88Y,www.interactiveservices.com,EDUCATION
LearnUpon,Privately Held,51-200,2012,E-learning,more than 1000,"SCORM & Tin Can Compliant,Online, Blended & Mobile Learning,Testing & Survey Engine,eCommerce,Create Branded Certificates,Create Branded Client Portals",https://media.licdn.com/dms/image/C560BAQFFwICyqZ9ZdA/company-logo_200_200/0?e=2132524800&v=beta&t=JeYbEqCuncLQxjDqDDP3vx32O3EcqoxlXssyTPYhQqs,www.learnupon.com,EDUCATION
ECM: European College Management,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C560BAQEEura_50jdhw/company-logo_200_200/0?e=2132524800&v=beta&t=rNNU4lKxWxJXKFPWNK-brsvu_9cJ8tCizZDQXqvRU7E,www.ecmcollege.ie,EDUCATION
PCI College,Educational,11-50,Undisclosed,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQEvhAp6XD7Ypw/company-logo_200_200/0?e=2132524800&v=beta&t=_tC-goMc4CAaSk9n0vlK2ZxbeW-B_W-5f3YScKjqng8,www.pcicollege.ie,EDUCATION
DCU Students' Union,Educational,11-50,1979,Education Management,more than 1000,"Student Representation,Clubs and Socieities,Events,Oppertunities",https://media.licdn.com/dms/image/C4D0BAQHXHE-XpMTl5w/company-logo_200_200/0?e=2132524800&v=beta&t=fRTvF43KKmPRdMnVC3hSId9_PBMPOuyNemoL8t0IzwA,www.dcusu.ie,EDUCATION
Higher Education Authority,Government Agency,51-200,Undisclosed,Education Management,more than 1000,"Higher Education Policy,Higher Education Funding,Research,Communications,Springboard+,Erasmus,National Access Office",https://media.licdn.com/dms/image/C4D0BAQHkFQ74jKukKw/company-logo_200_200/0?e=2132524800&v=beta&t=RkhN0DP-fu9owSMlrG3Bc3kYAboU0b754D9GKcD7AJU,www.hea.ie,EDUCATION
The English Studio Dublin,Educational,51-200,2002,Education Management,more than 1000,"The English Studio Dublin,Business English Cambridge,School of English,English Language Teaching and Training,Teacher Training,TESOL,Examination Courses,One to one Tuition,Cambridge Proficiency English,IELTS Preparation Course",https://media.licdn.com/dms/image/C510BAQEYyzg39R-aEQ/company-logo_200_200/0?e=2132524800&v=beta&t=mXLKrcr_zYggf0A4BZi5cKWUnoIhjxAEek-NF7uIDm0,www.englishstudio.com,EDUCATION
Suas Educational Development,Non Profit,11-50,2002,Education Management,more than 1000,"Volunteering,Development Education,Quality Education Programmes",https://media.licdn.com/dms/image/C510BAQEU1pq0ggn63Q/company-logo_200_200/0?e=2132524800&v=beta&t=coPX3XMqi-UsvQzkAWswOwIaatqSk589ZToHGxmsaQI,http://www.suas.ie,EDUCATION
FIT Ltd,Non Profit,11-50,1999,Education Management,more than 1000,"Apprenticeships,Employability ,Career Guidance ,Skills Audit ,ICT ,Networking ,Operations Management ",https://media.licdn.com/dms/image/C4D0BAQGW4cF38hi4ug/company-logo_200_200/0?e=2132524800&v=beta&t=iBc3i0DI6fkPIP5ThXPM99PFf1ICZNm1JIADVMkXb6k,www.fit.ie,EDUCATION
